id,title,description,icf,gender,planstart,actualstart,planend,actualend,sectors,sector_pct,parent,budget_sum
GB-1-102321,SAFERWORLD - Conflict Humanitarian Fund (CHF),Saferworld (CHF) Core Funding,0,0,01/10/2005,01/10/2005,01/10/2005,NA,15220,100,GB-1-102321,2650500
GB-1-102322,International Crisis Group,"To help raise awareness and increase understanding -- on the part of policy-makers, and those who influence them -- of conflict dynamics affecting selected countries; and to contribute to more effective action by governments, international organisations and others to prevent and resolve violent conflict.",0,0,01/01/2006,01/01/2006,01/01/2006,NA,15220,100,GB-1-102322,1549500
GB-1-102328,CDA: Strengthening Capacities for Assistance to Crisis-Affected Areas Through Cumulative  Learning and Evidence-Based Analysis,"To Support CDA works with a range of international and local agencies that work in conflict areas to help them gather their experience and, through comparative analysis, derive generic lessons that enable them to improve effectiveness and, thus, increase the benefits to those they intend to help",0,0,01/10/2006,01/10/2006,01/10/2006,NA,15220,100,GB-1-102328,800000
GB-1-102329,European Peacebuilding Liaison Office  - EPLO,Influencing the European debate on Peacebuilding and Conflict Prevention,0,0,01/09/2006,01/09/2006,01/09/2006,NA,15220,100,GB-1-102329,270000
GB-1-102330,Henry Dunant Centre for Humanitarian Dialogue,Support to Mediation Activities and Policy Research,0,1,01/11/2006,01/11/2006,01/11/2006,NA,15220,100,GB-1-102330,2500000
GB-1-102331,Carter CENTER: Conflict Resolution Program,Support to Conflict Resolution Programe (CRP),0,0,01/10/2006,01/10/2006,01/10/2006,NA,15220,100,GB-1-102331,462500
GB-1-102333,Department of Peacekeeping Operations: Package of Projects - 2006-2009,"THE PACKAGE OF PROJECTS WILL CONTRIBUTE TO THE GCPP UN STRATEGY'S GOAL OF INCREASING THE EFFECTIVENESS AND EFFICIENCY OF UN PEACEKEEPING, AND TO OUR TEAM'S GOAL OF IMPROVING UN PEACEBUILDING. IT WILL BUILD CAPACITY IN THE FIELD, ENHANCE THE LEARNING CULTURE OF DPKO, AND HELP PROFESSIONALIZE AND STRENGTHEN THE TRANSPARENCY AND ACCOUNTABILITY OF PEACEKEEPING OPERATIONS.",0,1,01/07/2006,01/07/2006,01/07/2006,NA,15230,100,GB-1-102333,1937429
GB-1-102334,Global Facilitation Network (GFN) on Security Sector Reform,"To promote better understanding of SSR throught the provision of advice, information and expertise to Practicioners, Academics and Policymakers. 2 . To facilitate greater interaction within and between Northern & Southern stakeholders on issues of partaining to SSR. 3 To facilitate access for Southern Stakeholders to be heard by HMG and other Northern Stakeholders",0,0,01/06/2006,01/06/2006,01/06/2006,NA,15220,100,GB-1-102334,2418656
GB-1-102337,Transparency International  Defence Against Corruption,To assist the development of developing countries by providing and implementing practical tools that prevent and combat corruption in their defence and security sectors,0,0,01/12/2006,01/12/2006,01/12/2006,NA,15113,100,GB-1-102337,574531
GB-1-102340,Intelligence and Security Adviser,"The Service Provider's role is to assist in the establishment of effective, well coordinated, apolitical, democratically accountable security and intelligence institutions through support in the development of legislation, policy and organisational development.",0,0,01/09/2007,01/09/2007,01/09/2007,NA,15220,100,GB-1-102340,173874
GB-1-102342,Department of Political Affairs: Mediation Support Unit,Promoting good UN offices function through UK support in providing advice on mediation to prevent global conflicts.,0,1,01/05/2007,01/05/2007,01/05/2007,NA,15220,100,GB-1-102342,620000
GB-1-102343,Halo Trust Global Demining Programme 2007-2010,To reduce the threat of mines and unexploded ordnance to assist socio-economic development,0,0,01/06/2007,01/06/2007,01/06/2007,NA,15250,100,GB-1-102343,12005395
GB-1-102344,Mines Advisory Group Global Demining  Programme 2007- 2010,To reduce the threat of mines and unexploded ordnance to assist socio-economic development,0,0,01/06/2007,01/06/2007,01/06/2007,NA,15250,100,GB-1-102344,12229997
GB-1-102345,SAFERWORLD Small Arms Light Weapons(SALW) & Arms Transfer Controls (TC),"To contribute to a reduction in levels of armed violence and to the prevention of violent conflict through supporting  the development and implementation of initiatives and mechanisms for the control of SALW and international arms transfers, and promoting more effective and accountable security provision in priority regions and countries.",0,1,01/06/2007,01/06/2007,01/06/2007,NA,15240,100,GB-1-102345,2139758
GB-1-102347,Human Rights Internet,Improving international mechanisms for settling disputes and preventing conflict,0,0,01/09/2007,01/09/2007,01/09/2007,NA,15220,100,GB-1-102347,671912
GB-1-102365,Community therapeutic care,To reduce mortality and morbidity from severe acute malnutrition in multiple contexts.,0,0,01/09/2006,01/09/2006,01/09/2006,NA,43082;12220;12240,50.00;25.00;25.00,GB-1-102365,2139364
GB-1-102366,Action Against Hunger,"To improve the technical quality and reliability of data collection on nutrition, mortality and food security by establishing standardised data collection and implement and refine SMART Methodology",0,0,01/09/2006,01/09/2006,01/09/2006,NA,43082;12240;12220,52.00;39.00;9.00,GB-1-102366,533744
GB-1-102387,BOND Strategic Funding Agreement,To increase the extent and quality of UK civil society's contribution to international development.,0,2,01/04/2003,01/04/2003,01/04/2003,NA,43010,100,GB-1-102387,2554424
GB-1-102403,ActionAid PPA,The PPA with ActionAid is a strategic level agreement which sets out the framework for DFIDs work with AA linked to strategic funding. ActionAid has a significant working relationship and shares objectives with DFID.,0,0,01/04/2003,01/04/2003,01/04/2003,NA,15150,100,GB-1-102403,26225000
GB-1-102405,Oxfam PPA,The PPA with Oxfam is a strategic level agreement which sets out the framework for DFID's work with Oxfam linked to strategic funding. Oxfam has a significant working relationship and shares objectives with DFID.,0,2,01/04/2001,01/04/2001,01/04/2001,NA,15150,100,GB-1-102405,53953000
GB-1-102406,Wateraid Programme Partnership Agreement,The PPA with Wateraid is a strategic level agreement which sets out the framework for DFID's work with Wateraid linked to strategic funding.  Wateraid has a significant working relationship and shares objectives with DFID.,0,1,01/04/2002,01/04/2002,01/04/2002,NA,15150,100,GB-1-102406,7236294
GB-1-102407,Care International (UK) PPA,The PPA with CARE International UK is a stragegic level agreement whcih sets out the framework for DFID's eork with CARE International linked to strategic funding.  CARE International has a significant working relationship and shares objectives with DFID.,0,0,01/07/2002,01/07/2002,01/07/2002,NA,15150,100,GB-1-102407,13710000
GB-1-102408,HelpAge Partnership Programme Agreement,"The PPA with HelpAge is a strategic arrangement which provides guaranteed funding based on shared objectives and agreed outcomes.  DFID have an established working relationship with HelpAge, who work to influence the development of policies and practices that promote rights and opportunities for older people.",0,0,01/04/2002,01/04/2002,01/04/2002,NA,15150,100,GB-1-102408,6837000
GB-1-102409,Action on Disability and Development Partnership Prog Agree,"The PPA with ADD is a strategic agreement whcih provides guaranteed funding based on shared objectives and agreed outcomes.  DFID have an established working relationship with ADD, who support organisations aof disabled people to promote their right for inclusion, determine their futures, and control decisions which affect their lives.",0,0,01/04/2002,01/04/2002,01/04/2002,NA,15150,100,GB-1-102409,4575000
GB-1-102410,Overseas Development Institute,The PPA with ODI is a strategic level agreement which sets out the framework for DFID's work with ODI linked to strategic funding.  ODI has significant working relationships and shares strategic objectives with DFID,0,0,01/05/2004,01/05/2004,01/05/2004,NA,15150,100,GB-1-102410,4010000
GB-1-102411,The Panos Institute Partnership Agreement,The PPA with Panos Institute is a strategic level agreement which sets out the framework for DFID's work with Panos Institute linked to strategic funding.  The Panos Institute has a significant working relationship and shares objectives with DFID.,0,0,01/06/2004,01/06/2004,01/06/2004,NA,15150,100,GB-1-102411,6785000
GB-1-102412,HIV/AIDS Alliance PPA,"The PPA with Alliance is a strategic arrangement which provides guaranteed funding based o shared objedtives and agreed outcomes.  DFID have an established working relationship with Alliance, who work to reduce the spread of HIV, and mitigate the impact of AIDS through community action and prevention and care initiatives.",0,0,01/04/2006,01/04/2006,01/04/2006,NA,15150,100,GB-1-102412,11450000
GB-1-102413,Practical Action PPA,"The PPA with Practical Action is a strategic level agreement which provides guaranteed funding based on shared objectives and agreed strategic outcomes.  DFID have an established relationship with Practical Action, who aim to improve poor people's access to control over, and choice of appropriate affordable infrastructure services.",0,0,01/04/2004,01/04/2004,01/04/2004,NA,15150,100,GB-1-102413,3500000
GB-1-102414,Plan International UK PPA,The PPA with Plan International UK is a strategic level agreement which sets out the framework for DFID's work with Plan International UK linked to strategic funding.  Plan International UK has a significant working relationship and shares objectives with DFID,0,0,01/07/2006,01/07/2006,01/07/2006,NA,15150,100,GB-1-102414,3150000
GB-1-102415,Islamic Relief PPA,The PPA with Islamic Relief is a strategic level agreement which sets out the framework for DFID's work with Islamic Relief linked to strategic funding.  Islamic Relief has a significant working relationship and shares objectives with DFID,0,0,01/07/2006,01/07/2006,01/07/2006,NA,15150,100,GB-1-102415,1312500
GB-1-102416,World Vision PPA,The PPA with World Vision is a strategic level agreement which sets out the framework for DFID's work with World Vision linked to strategic funding.  World Vision has a significant working relationship and shares objectives with DFID,0,0,01/08/2006,01/08/2006,01/08/2006,NA,15150,100,GB-1-102416,3500000
GB-1-102417,One World Action PPA,The PPA with One World Action is a strategic level agreement which sets out the framework for DFID's work with One World Action linked to strategic funding.  One World Action has a significant working relationship and shares objectives with DFID.,0,0,01/07/2006,01/07/2006,01/07/2006,NA,15150,100,GB-1-102417,1750000
GB-1-102418,Transparency International PPA,The PPA with Transparency International is a strategic level agreement which sets out the framework for DFID's work with Transparency International linked to strategic funding.  Transparency International has a significant working relationship and shares objectives with DFID.,0,0,01/07/2006,01/07/2006,01/07/2006,NA,15150,100,GB-1-102418,1750000
GB-1-102419,Aga Khan Foundation PPA,The PPA with Aga Khan Foundation is a strategic level agreement which sets out the framework for DFID's work with Aga Khan Foundation linked to strategic funding.  Aga Khan Foundation has a significant working relationship and shares objectives with DFID,0,0,01/07/2006,01/07/2006,01/07/2006,NA,15150,100,GB-1-102419,1312500
GB-1-102420,IIED Partnership Programme Agreement,The PPA with IIED is a strategic level agreement which sets out the framework for DFID's work with IIED linked to strategic funding.  IIED has a significant working relationship and shares objectives with DFID,0,0,01/07/2006,01/07/2006,01/07/2006,NA,15150,100,GB-1-102420,1750000
GB-1-102421,ETI Partnership Programme Agreement,The PPA with ETI is a strategic level agreement which sets out the framework for DFID's work with ETI linked to strategic funding.  ETI has a significant working relationship and shares objectives with DFID,0,0,01/07/2006,01/07/2006,01/07/2006,NA,15150,100,GB-1-102421,875000
GB-1-102434,Active Learning Network Accountability Performance (ALNAP): Improving accountability and performance in humanitarian actions,"To improve accountability and performance in humanitarian action, by sharing lessons",0,0,01/04/2006,01/04/2006,01/04/2006,NA,72010,100,GB-1-102434,225000
GB-1-102435,Humanitarian Accountability Partnership International (HAPI): Improving the quality of humanitarian projects.,"Humanitarian Accountability Partnership - International (HAP-I) aims to improve the quality and cost-effectiveness of humanitarian action through introducing, monitoring and giving recognition through accreditation/certification to quality management in humanitarian projects.",0,0,01/11/2005,01/11/2005,01/11/2005,NA,72010,100,GB-1-102435,499400
GB-1-102436,Shelter Centre Support Programme,"To build humanitarian capacity and coordination within the shelter sector, through the use of innovation and development of key tools.  The  key clusters of camp management, shelter and recovery will be supported through the development of operational guidelines, field-tested coordination tools and a standarised family shelter for conflict and natural disasters.",0,0,01/12/2005,01/12/2005,01/12/2005,NA,43082;72010,52.00;48.00,GB-1-102436,2053844
GB-1-102437,Refugee Studies Centre Conflict and Humanitarian Fund,Providing humanitarian community with practice-orientated forum for debate and information exchange on issues facing refugees and IDP's in order to improve effectiveness in policy and practice.,0,0,01/01/2006,01/01/2006,01/01/2006,NA,72010,100,GB-1-102437,2499997
GB-1-102439,Women's Commission for Refugee Women and Children  Promoting Appropriate Livelihoods for Displaced Women and Children,"To enhance the protection of displaced women and adolescents (refugees, internally displaced, and returnees) by helping the  international community design and implement more effective livelihood programs targetting displaced women and adolescents adolescents.",0,2,01/09/2006,01/09/2006,01/09/2006,NA,72010,100,GB-1-102439,525000
GB-1-102440,Conflict and Humanitarian Fund Arrangement With Internal Displacement Monitoring Centre,"Core funding to Internal Displacement Monitoring Centre to monitor internal displacement worldwide (on behalf of the United Nations), provide training on the guiding principles of internal displacement, advocate at the global level for Internal Displaced People and promotion solutions to internal displacement through work in relevant international fora.",0,0,01/09/2006,01/09/2006,01/09/2006,NA,43082;15210;15220,60.00;20.00;20.00,GB-1-102440,1549999
GB-1-102444,SGA - Connections for Development,To build the capacity of CfD as a network organisation for BME NGOs working in international development,0,0,01/04/2003,01/04/2003,01/04/2003,NA,15150,100,GB-1-102444,1037836
GB-1-102459,African Agriculture Technology Foundation,To provide affordable demand led agricultural technology to poor farmers in sub-Saharan Africa,0,0,01/01/2004,01/01/2004,01/01/2004,NA,31110,100,GB-1-102459,4999998
GB-1-102461,Comprehensive Africa Agriculture Development Programme,"African agricultural [institutions and] programmes at national, regional and continental levels scaled up and more effective",0,0,01/10/2005,01/10/2005,01/10/2005,01/10/2005,31110,100,GB-1-102461,16679316
GB-1-102476,Sub Saharan Africa Transport Policy Programme SSATP,Integrated transport sector policies effective at country and Regional Economic Community  levels,0,0,01/04/2007,01/04/2007,01/04/2007,NA,21010,100,GB-1-102476,1250000
GB-1-102481,Emerging Africa  Infrastructure Fund (EAIF),"To improve the provision of infrastructure services in Sub-Saharan Africa through the provision of long term loans to eligible projects, leading to economic growth and increased access for the poor. It will be complementary to previously agreed Public-Private Infrastructure Advisory Facility.",0,0,01/07/2001,01/07/2001,01/07/2001,NA,24010,100,GB-1-102481,1285865
GB-1-102483,Investment Climate Facility for Africa,To address the real and perceived obstacles to doing business in Africa by building the environment for investment reform,0,0,01/10/2005,01/10/2005,01/10/2005,01/10/2005,33110,100,GB-1-102483,17878868
GB-1-102484,Natural Resource Exploitation - Trading for Peace,To enhance sustainable and equitable use of DRC's natural resources in the interests of poverty reduction and stability in the Great Lakes Region,0,1,01/07/2004,01/07/2004,01/07/2004,NA,15220;25010;33120;43082;32210;41082;31282,22.00;20.00;20.00;19.00;10.00;9.00;0.00,GB-1-102484,2042999
GB-1-102536,Afrobarometer: Round III,"To produce scientifically reliable data on public opinion in Sub-Saharan Africa, to build institutional capacity for survey research in Africa, and to broadly disseminate and apply survey results.",0,0,01/01/2005,01/01/2005,01/01/2005,NA,15111,100,GB-1-102536,287576
GB-1-102547,Infrastructure Consortium for Africa Secretariat,To help the Secretariat to support the work of the Infrastructure Consortium for Africa in coordinating and increasing international investment in African infrastructure,0,0,01/02/2006,01/02/2006,01/02/2006,NA,32310;21010;14010;23110;32130,54.00;19.00;9.00;9.00;9.00,GB-1-102547,515212
GB-1-102549,International Monetary Fund Africa Regional Technical Assistance Centres,Improved economic governance in AFRITAC countries.,0,0,01/05/2006,01/05/2006,01/05/2006,NA,15110;15111;24010;60010,45.00;40.00;10.00;5.00,GB-1-102549,1825000
GB-1-102551,Support to African Economic Research Consortium,To Strengthen African Capacity for Economic Research and Analysis,0,0,01/01/2006,01/01/2006,01/01/2006,NA,43082,100,GB-1-102551,1392562
GB-1-102552,Secondment of Economist/Governance adviser to African Development Bank (AFDB),"To help enhance the DFID/African Development Bank partnership (2006-2010) and ensure that budget support operations are of the highest quality, reflecting experience and best practice not only from DFID but also other development partners",0,0,01/01/2006,01/01/2006,01/01/2006,NA,15110,100,GB-1-102552,499595
GB-1-102563,African Development Bank Institutional Reform,To provide funding for consultant services for the Institutionsl Reform Programme at the African Development Bank,0,0,01/06/2006,01/06/2006,01/06/2006,NA,15110,100,GB-1-102563,466024
GB-1-102566,Africa Progress Panel,"An independent mechanism to encourage and measure progress, against the commitments made to and by Africa at G8 Summits, notably Gleneagles, and to maintain the international political profile of Africa achieved in 2005",0,0,01/01/2007,01/01/2007,01/01/2007,NA,15110,100,GB-1-102566,2297240
GB-1-102571,United Nations Economic Commission for Africa 2007-2009,"To support quality policy research at an Africa wide level, which can be utilized regionally and nationally to influence policy choices, in relation to the delivery of MDGs",0,1,01/01/2007,01/01/2007,01/01/2007,NA,15110;43082;16010;33110,33.00;29.00;19.00;19.00,GB-1-102571,2007848
GB-1-102574,EISA Capacity Building Programme,To contribute to the strengthening of democracy and governance in Africa by supporting the AU/Pan African Parliament in election observation. Increasing EISA's capacity to assist selected national parliaments on the continent.,0,0,01/01/2007,01/01/2007,01/01/2007,NA,15151,100,GB-1-102574,645334
GB-1-102575,China in Africa,To investigate the emerging relationship between China and Africa and seek to assess the character and content of China's foreign and trade policy towards Africa,0,0,01/04/2007,01/04/2007,01/04/2007,NA,33110,100,GB-1-102575,745854
GB-1-102576,Strategic Partnership Africa (Spa) Technical Co-Operation 2007-8,To increase donors' and African governments' understanding of how to improve Aid Effectiveness,0,0,01/01/2007,01/01/2007,01/01/2007,NA,15110,100,GB-1-102576,413054
GB-1-102580,Nile Basin Initiative,Increased regional cooperation in the management of the Nile waters to deliver sustainable development,0,0,01/11/2003,01/11/2003,01/11/2003,NA,14010;41010,51.00;49.00,GB-1-102580,13964713
GB-1-102581,Nile Basin Discourse (NBD),To promote and add value to Nile cooperation and development processes,0,0,01/11/2005,01/11/2005,01/11/2005,NA,15150,100,GB-1-102581,3211221
GB-1-102582,AfDB: African Water Facility,"To provide support to the implementation of the African Water Facility by improving the enabling environment for sustainable national and regional water resources management, to prepare projects for immediate capital investment and to provide direct resources for strategic investment.",0,0,01/09/2006,01/09/2006,01/09/2006,NA,14030,100,GB-1-102582,194432
GB-1-102583,African Development Bank - Rural Water Supply & Sanitation Initiative,To provide technical assistance and support to improve sustainable access to safe water supplies and sanitation services for rural communities in Africa.,0,0,01/09/2006,01/09/2006,01/09/2006,NA,14030;15110,80.00;20.00,GB-1-102583,987400
GB-1-102585,Association for the Development of Education  in Africa (ADEA) Association Support,"Capacity building and networking between Government Ministries, NGOs, funding agencies and the private sector to promote better education policy dialogue",0,0,01/07/2004,01/07/2004,01/07/2004,NA,11110,100,GB-1-102585,501099
GB-1-102591,Mobilising Regional Capacity Initiative (MRCI) for Higher Education Revitalisation in Africa,To support a capacity building programme to promote and enhance the networking role of the Association of African Universities (AAU) in relation to leading regional and national African associations in higher educationInstitutional partnerships and networking capacity of AAU and key regional & national partner organisations in Africa strengthened,0,0,01/07/2007,01/07/2007,01/07/2007,NA,11110,100,GB-1-102591,2788258
GB-1-102596,Essential Drugs in Africa,"To enhance substantive participation of national governments, WHO, consumers, NGOs and other key stakeholders working together to implement national drug policies, increase adoption of the essential drugs concept and improve access to essential drugs.",0,0,01/10/2001,01/10/2001,01/10/2001,NA,12110,100,GB-1-102596,6017957
GB-1-102603,UNICEF Children and AIDS Regional Initiative (CARI),"Increased proportion of orphans and vulnerable children receiving family, community and Government support in six countries in Southern Africa (Angola, Botswana, Lesotho, Namibia, South Africa and Swaziland)",0,1,01/04/2006,01/04/2006,01/04/2006,NA,16010;13040,70.00;30.00,GB-1-102603,23688318
GB-1-102607,MEMA KWA VIJANA HIV/AIDS Trial Project,To reduce the prevalence of HIV infections amongst youth (15-24) in Sub Saharan Africa.  To provide policy makers and programme managers with evidence-based recommendations on effective interventions for preventing HIV and improving the sexual health of youth,0,1,01/12/2006,01/12/2006,01/12/2006,NA,13040,100,GB-1-102607,1396813
GB-1-102622,Africa Security Sector Transformation Network ASSN,No changes - original OVIs added,0,0,01/10/2005,01/10/2005,01/10/2005,NA,15220,100,GB-1-102622,1449772
GB-1-102625,United Nations Institute for Training and Research (UNITAR) Regional Conflict Training,To provide training for Senior and Middle level participants on a Regional Training Programme to Enhance Conflict Prevention & Peace-Building in Africa,0,0,01/09/2006,01/09/2006,01/09/2006,NA,15220,100,GB-1-102625,300000
GB-1-102672,Increasing Social Equity to Address HIV/AIDS CSCF376,"Improved health and livelihoods and reduced vulnerability to HIV/AIDS among fishing communities along the Lake Victoria shores in Kenya, Uganda and Tanzania through a multi-sectoral rights based approach",0,0,01/04/2006,01/04/2006,01/04/2006,NA,13040;15150;31310,40.00;30.00;30.00,GB-1-102672,482799
GB-1-102673,Pan-African Food Sovereignty Programme CSCF395,Democratise the debate on EPAs and CAP to enable poor and marginalised communities dependant on agriculture to articulate their rights and advocate for policies that benefit their development.,0,0,01/04/2007,01/04/2007,01/04/2007,NA,31110;52010,85.00;15.00,GB-1-102673,484308
GB-1-102713,ACCORD - Building Peace and Democracy in Angola,"To Strengthen Angola's capacity for effective participation in conflict transformation, peace building and democratisation processes",0,1,01/12/2005,01/12/2005,01/12/2005,NA,15220,100,GB-1-102713,899074
GB-1-102791,ODI Fellows Placements,"An initial consultancy to assess the scope for support to the Government of Burundi with the PRSP process, followed by the placement of an Overseas Development Institute Fellow in the Ministry of Planning, Development and Reconstruction",0,0,01/05/2003,01/05/2003,01/05/2003,NA,15110,100,GB-1-102791,730863
GB-1-102861,Assistance to Orphans & Vulerable Children in Burundi,To scale-up and improve the effectiveness of the national response to meet needs of orphans and vulnerable children in Burundi,0,1,01/07/2006,01/07/2006,01/07/2006,NA,72010;72040;73010,60.00;20.00;20.00,GB-1-102861,6543185
GB-1-102863,Referral structure for Gynaecological  & Obstetric care,To guarantee access to a referral Health Structure for all women in Bujumbura rural needing urgent Gynaecological-Obstetric care,0,0,01/07/2006,01/07/2006,01/07/2006,NA,13020,100,GB-1-102863,792661
GB-1-102887,Cameroon: World Bank/ DFID Collaboration,To support the development of sound forest sector governance,0,0,01/10/2004,01/10/2004,01/10/2004,NA,31210,100,GB-1-102887,1017499
